PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Zhao, Xu; Nafziger, Emerson D.; Pittelkow, Cameron M.								Nitrogen rate strategies for reducing yield-scaled nitrous oxide emissions in maize								ENVIRONMENTAL RESEARCH LETTERS				12	12					124006	10.1088/1748-9326/aa9007			DEC 2017	2017										0							WOS:000417530700004		
J	Wainwright, Claire E.; Dwyer, John M.; Hobbs, Richard J.; Mayfield, Margaret M.								Diverse outcomes of species interactions in an invaded annual plant community								JOURNAL OF PLANT ECOLOGY				10	6			918	926		10.1093/jpe/rtw102			DEC 2017	2017										1							WOS:000417978400004		
J	Arroyo, Antonio I.; Pueyo, Yolanda; Reine, Ramon; Luz Giner, Maria; Alados, Concepcion L.								Effects of the allelopathic plant Artemisia herba-alba Asso on the soil seed bank of a semi-arid plant community								JOURNAL OF PLANT ECOLOGY				10	6			927	936		10.1093/jpe/rtw120			DEC 2017	2017										2							WOS:000417978400005		
J	de Oliveira Coelho, Gabriela Aparecida; Nunes Santos Terra, Marcela de Castro; Almeida, Hisaias de Souza; van den Berg, Eduardo								What can natural edges of gallery forests teach us about woody community performance in sharp ecotones?								JOURNAL OF PLANT ECOLOGY				10	6			937	948		10.1093/jpe/rtw083			DEC 2017	2017										1							WOS:000417978400006		
J	Siebenkaes, Alrun; Schumacher, Jens; Roscher, Christiane								Trait variation in response to resource availability and plant diversity modulates functional dissimilarity among species in experimental grasslands								JOURNAL OF PLANT ECOLOGY				10	6			981	993		10.1093/jpe/rtw110			DEC 2017	2017										1							WOS:000417978400010		
J	Castells, Eva; Morante, Maria; Saura-Mas, Sandra; Blasco-Moreno, Anabel								Plant-herbivore assemblages under natural conditions are driven by plant size, not chemical defenses								JOURNAL OF PLANT ECOLOGY				10	6			1012	1021		10.1093/jpe/rtw131			DEC 2017	2017										0							WOS:000417978400013		
J	Takano, Kohei Takenaka; Hibino, Kenshi; Numata, Ayaka; Oguro, Michio; Aiba, Masahiro; Shiogama, Hideo; Takayabu, Izuru; Nakashizuka, Tohru								Detecting latitudinal and altitudinal expansion of invasive bamboo Phyllostachys edulis and Phyllostachys bambusoides (Poaceae) in Japan to project potential habitats under 1.5 degrees C-4.0 degrees C global warming								ECOLOGY AND EVOLUTION				7	23			9848	9859		10.1002/ece3.3471			DEC 2017	2017										2							WOS:000417754100001		
J	Dohms, Kimberly M.; Graham, Brendan A.; Burg, Theresa M.								Multilocus genetic analyses and spatial modeling reveal complex population structure and history in a widespread resident North American passerine (Perisoreus canadensis)								ECOLOGY AND EVOLUTION				7	23			9869	9889		10.1002/ece3.3478			DEC 2017	2017										1							WOS:000417754100003		
J	Terando, Adam J.; Youngsteadt, Elsa; Meineke, Emily K.; Prado, Sara G.								Ad hoc instrumentation methods in ecological studies produce highly biased temperature measurements								ECOLOGY AND EVOLUTION				7	23			9890	9904		10.1002/ece3.3499			DEC 2017	2017										4							WOS:000417754100004		
J	Ponge, Jean-Francois; Zuccon, Dario; Elias, Marianne; Pavoine, Sandrine; Henry, Pierre-Yves; Thery, Marc; Guilbert, Eric								Ancestrality and evolution of trait syndromes in finches (Fringillidae)								ECOLOGY AND EVOLUTION				7	23			9935	9953		10.1002/ece3.3420			DEC 2017	2017										0							WOS:000417754100008		
J	Moatt, Joshua P.; Hambly, Catherine; Heap, Elizabeth; Kramer, Anna; Moon, Fiona; Speakman, John R.; Walling, Craig A.								Body macronutrient composition is predicted by lipid and not protein content of the diet								ECOLOGY AND EVOLUTION				7	23			10056	10065		10.1002/ece3.3529			DEC 2017	2017										0							WOS:000417754100017		
J	Moe, Stein R.; Eldegard, Katrine; Rannestad, Ole Tobias; Okullo, Paul; Lindtjorn, Ommund; Stoen, Ole Gunnar; Dale, Svein								Strong positive effects of termites on savanna bird abundance and diversity are amplified by large herbivore exclusion								ECOLOGY AND EVOLUTION				7	23			10079	10088		10.1002/ece3.3513			DEC 2017	2017										1							WOS:000417754100019		
J	Meade, Lara; Harley, Elisabeth; Cotton, Alison; Howie, James M.; Pomiankowski, Andrew; Fowler, Kevin								Variation in the benefits of multiple mating on female fertility in wild stalk-eyed flies								ECOLOGY AND EVOLUTION				7	23			10103	10115		10.1002/ece3.3486			DEC 2017	2017										0							WOS:000417754100021		
J	Buchinger, Tyler J.; Marsden, J. Ellen; Binder, Thomas R.; Huertas, Mar; Bussy, Ugo; Li, Ke; Hanson, James E.; Krueger, Charles C.; Li, Weiming; Johnson, Nicholas S.								Temporal constraints on the potential role of fry odors as cues of past reproductive success for spawning lake trout								ECOLOGY AND EVOLUTION				7	23			10196	10206		10.1002/ece3.3546			DEC 2017	2017										0							WOS:000417754100028		
J	Jimenez-Valverde, Alberto; Sendra, Alberto; Garay, Policarp; Reboleira, Ana Sofia P. S.								Energy and speleogenesis: Key determinants of terrestrial species richness in caves								ECOLOGY AND EVOLUTION				7	23			10207	10215		10.1002/ece3.3558			DEC 2017	2017										1							WOS:000417754100029		
