PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Zimmerhackel, Johanna S.; Rogers, Abbie A.; Meekan, Mark G.; Ali, Khadeeja; Pannell, David J.; Kragt, Marit E.								How shark conservation in the Maldives affects demand for dive tourism								TOURISM MANAGEMENT				69				263	271		10.1016/j.tourman.2018.06.009			DEC 2018	2018										0							WOS:000441681400022		
J	Munera-Echeverri, J. L.; Martinsen, V; Strand, L. T.; Zivanovic, V; Cornelissen, G.; Mulder, J.								Cation exchange capacity of biochar: An urgent method modification								SCIENCE OF THE TOTAL ENVIRONMENT				642				190	197		10.1016/j.scitotenv.2018.06.017			NOV 15 2018	2018										0							WOS:000439405600019		
J	Puy, Arnald; Herzog, Manuel; Escriche, Pedro; Marouche, Amou; Oubana, Yousef; Bubenzer, Olaf								Detection of sand encroachment patterns in desert oases. The case of Erg Chebbi (Morocco)								SCIENCE OF THE TOTAL ENVIRONMENT				642				241	249		10.1016/j.scitotenv.2018.05.343			NOV 15 2018	2018										0							WOS:000439405600024		
J	Sandor, Renata; Ehrhardt, Fiona; Brilli, Lorenzo; Carozzi, Marco; Recous, Sylvie; Smith, Pete; Snow, Val; Soussana, Jean-Francois; Dorich, Christopher D.; Fuchs, Kathrin; Fitton, Nuala; Gongadze, Kate; Klumpp, Katja; Liebig, Mark; Martin, Raphael; Merbold, Lutz; Newton, Paul C. D.; Rees, Robert M.; Rolinski, Susanne; Bellocchi, Gianni								The use of biogeochemical models to evaluate mitigation of greenhouse gas emissions from managed grasslands								SCIENCE OF THE TOTAL ENVIRONMENT				642				292	306		10.1016/j.scitotenv.2018.06.020			NOV 15 2018	2018										0							WOS:000439405600029		
J	Sinclair, Michael; Ghermandi, Andrea; Sheela, Albert M.								A crowdsourced valuation of recreational ecosystem services using social media data: An application to a tropical wetland in India								SCIENCE OF THE TOTAL ENVIRONMENT				642				356	365		10.1016/j.scitotenv.2018.06.056			NOV 15 2018	2018										0							WOS:000439405600036		
J	Xue, Tao; Zhu, Tong								Increment of ambient exposure to fine particles and the reduced human fertility rate in China, 2000-2010								SCIENCE OF THE TOTAL ENVIRONMENT				642				497	504		10.1016/j.scitotenv.2018.06.075			NOV 15 2018	2018										0							WOS:000439405600048		
J	Santos, Rodrigo A. L.; Mota-Ferreira, Mario; Aguiar, Ludmilla M. S.; Ascensao, Fernando								Predicting wildlife road-crossing probability from roadkill data using occupancy-detection models								SCIENCE OF THE TOTAL ENVIRONMENT				642				629	637		10.1016/j.scitotenv.2018.06.107			NOV 15 2018	2018										0							WOS:000439405600062		
J	Hernout, Beatrice, V; Gibson, Louise J.; Walmsley, Adam J.; Arnold, Kathryn E.								Interspecific variation in the spatially-explicit risks of trace metals to songbirds								SCIENCE OF THE TOTAL ENVIRONMENT				642				679	689		10.1016/j.scitotenv.2018.05.390			NOV 15 2018	2018										0							WOS:000439405600068		
J	Koivisto, Elina; Santangeli, Andrea; Koivisto, Pertti; Korkolainen, Tapio; Vuorisalo, Timo; Hanski, Ilpo K.; Loivamaa, Iida; Koivisto, Sanna								The prevalence and correlates of anticoagulant rodenticide exposure in non-target predators and scavengers in Finland								SCIENCE OF THE TOTAL ENVIRONMENT				642				701	707		10.1016/j.scitotenv.2018.06.063			NOV 15 2018	2018										0							WOS:000439405600070		
J	Ferguson, Robert M. W.; Coulon, Frederic; Villa, Raffaella								Understanding microbial ecology can help improve biogas production in AD								SCIENCE OF THE TOTAL ENVIRONMENT				642				754	763		10.1016/j.scitotenv.2018.06.007			NOV 15 2018	2018										0							WOS:000439405600075		
J	Lumibao, Candice Y.; Formel, Stephen; Elango, Vijaikrishnah; Pardue, John H.; Blum, Michael; Van Bael, Sunshine A.								Persisting responses of salt marsh fungal communities to the Deepwater Horizon oil spill								SCIENCE OF THE TOTAL ENVIRONMENT				642				904	913		10.1016/j.scitotenv.2018.06.077			NOV 15 2018	2018										0							WOS:000439405600089		
J	Anadon-Rosell, Alba; Dawes, Melissa A.; Fonti, Patrick; Hagedorn, Frank; Rixen, Christian; von Arx, Georg								Xylem anatomical and growth responses of the dwarf shrub Vaccinium myrtillus to experimental CO2 enrichment and soil warming at treeline								SCIENCE OF THE TOTAL ENVIRONMENT				642				1172	1183		10.1016/j.scitotenv.2018.06.117			NOV 15 2018	2018										0							WOS:000439405600114		
J	Chua, Siew Chin; Potts, Matthew D.								The role of plant functional traits in understanding forest recovery in wet tropical secondary forests								SCIENCE OF THE TOTAL ENVIRONMENT				642				1252	1262		10.1016/j.scitotenv.2018.05.397			NOV 15 2018	2018										0							WOS:000439405600121		
J	Markevych, Iana; Tesch, Falko; Datzmann, Thomas; Romanos, Marcel; Schmitt, Jochen; Heinrich, Joachim								Outdoor air pollution, greenspace, and incidence of ADHD: A semi-individual study								SCIENCE OF THE TOTAL ENVIRONMENT				642				1362	1368		10.1016/j.scitotenv.2018.06.167			NOV 15 2018	2018										0							WOS:000439405600131		
J	Leijs, Marike M.; Esser, Andre; Amann, Philipp M.; Schettgen, Thomas; Heise, Ruth; Fietkau, Katharina; Gube, Monika; Merk, Hans F.; Kraus, Thomas; Baron, Jens M.								Expression of CYP1A1, CYP1B1 and IL-1 beta in PBMCs and skin samples of PCB exposed individuals								SCIENCE OF THE TOTAL ENVIRONMENT				642				1429	1438		10.1016/j.scitotenv.2018.06.136			NOV 15 2018	2018										1							WOS:000439405600138		
J	Fernandez-Baca, Cristina P.; Truhlar, Allison M.; Omar, Amir-Eldin H.; Rahm, Brian G.; Walter, M. Todd; Richardson, Ruth E.								Methane and nitrous oxide cycling microbial communities in soils above septic leach fields: Abundances with depth and correlations with net surface emissions								SCIENCE OF THE TOTAL ENVIRONMENT				640				429	441		10.1016/j.scitotenv.2018.05.303			NOV 1 2018	2018										0							WOS:000438408800044		
J	Breitwieser, Marine; Vigneau, Evelyne; Viricel, Amelia; Becquet, Vanessa; Lacroix, Camille; Erb, Marina; Huet, Valerie; Churlaud, Carine; Le Floch, Stephane; Guillot, Benoit; Graber, Marianne; Thomas, Helene								What is the relationship between the bioaccumulation of chemical contaminants in the variegated scallop Mimachlamys varia and its health status? A study carried out on the French Atlantic coast using the Path ComDim model								SCIENCE OF THE TOTAL ENVIRONMENT				640				662	670		10.1016/j.scitotenv.2018.05.317			NOV 1 2018	2018										0							WOS:000438408800067		
J	Wierzcholska, Sylwia; Dyderski, Marcin K.; Pielech, Remigiusz; Gazda, Anna; Smoczyk, Michal; Malicki, Marek; Horodecki, Pawel; Kamczyc, Jacek; Skorupski, Maciej; Hachulka, Mariusz; Kalucka, Izabela; Jagodzinski, Andrzej M.								Natural forest remnants as refugia for bryophyte diversity in a transformed mountain river valley landscape								SCIENCE OF THE TOTAL ENVIRONMENT				640				954	964		10.1016/j.scitotenv.2018.05.340			NOV 1 2018	2018										0							WOS:000438408800093		
J	Souza, Allan T.; Ilarri, Martina I.; Timoteo, Sergio; Marques, Joao Carlos; Martins, Irene								Assessing the effects of temperature and salinity oscillations on a key mesopredator fish from European coastal systems								SCIENCE OF THE TOTAL ENVIRONMENT				640				1332	1345		10.1016/j.scitotenv.2018.05.348			NOV 1 2018	2018										0							WOS:000438408800132		
J	Jafarabadi, Ali Ranjbar; Bakhtiari, Alireza Riyahi; Maisano, Maria; Pereira, Patricia; Cappello, Tiziana								First record of bioaccumulation and bioconcentration of metals in Scleractinian corals and their algal symbionts from Kharg and Lark coral reefs (Persian Gulf, Iran)								SCIENCE OF THE TOTAL ENVIRONMENT				640				1500	1511		10.1016/j.scitotenv.2018.06.029			NOV 1 2018	2018										0							WOS:000438408800148		
J	Garcia-Vega, Ana; Javier Sanz-Ronda, Francisco; Celestino, Leandro Fernandes; Makrakis, Sergio; Leunda, Pedro M.								Potamodromous brown trout movements in the North of the Iberian Peninsula: Modelling past, present and future based on continuous fishway monitoring								SCIENCE OF THE TOTAL ENVIRONMENT				640				1521	1536		10.1016/j.scitotenv.2018.05.339			NOV 1 2018	2018										0							WOS:000438408800150		
J	Franzaring, J.; Ancora, S.; Paoli, L.; Fongoh, A. H.; Buettner, P.; Fangmeier, A.; Schlosser, S.; Monaci, F.								Phytotoxicity of polymetallic mine wastes from southern Tuscany and Saxony								ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY				162				505	513		10.1016/j.ecoenv.2018.07.034			OCT 30 2018	2018										0							WOS:000440879500059		
J	Cabrini, Tatiana M. B.; Barboza, Carlos A. M.; Skinner, Viviane B.; Hauser-Davis, Rachel A.; Rocha, Rafael C.; Saint'Pierre, Tatiana D.; Valentin, Jean L.; Cardoso, Ricardo S.								Investigating heavy metal bioaccumulation by macrofauna species from different feeding guilds from sandy beaches in Rio de Janeiro, Brazil								ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY				162				655	662		10.1016/j.ecoenv.2018.06.077			OCT 30 2018	2018										0							WOS:000440879500075		
J	Bianchini, Kristin; Morrissey, Christy A.								Polycyclic aromatic hydrocarbon exposure impairs pre-migratory fuelling in captively-dosed Sanderling (Calidris alba)								ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY				161				383	391		10.1016/j.ecoenv.2018.05.036			OCT 15 2018	2018										0							WOS:000439956700045		
J	Sievers, Michael; Hale, Robin; Swearer, Stephen E.; Parris, Kirsten M.								Contaminant mixtures interact to impair predator-avoidance behaviours and survival in a larval amphibian								ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY				161				482	488		10.1016/j.ecoenv.2018.06.028			OCT 15 2018	2018										0							WOS:000439956700058		
J	Miller, Jason L.; Sherry, Jim; Parrott, Joanne; Quinn, James S.								An evaluation of germline mutations and reproductive impacts in fathead minnow (Pimephales promelas) exposed to contaminated sediment								ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY				161				594	601		10.1016/j.ecoenv.2018.06.017			OCT 15 2018	2018										0							WOS:000439956700071		
J	Chatelain, M.; Gasparini, J.; Frantz, A.; Angelier, F.								Reproduction impairments in metal-polluted environments and parental hormones: No evidence for a causal association in an experimental study in breeding feral pigeons exposed to lead and zinc								ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY				161				746	754		10.1016/j.ecoenv.2018.06.043			OCT 15 2018	2018										0							WOS:000439956700090		
J	Son, Yeongkwon; Osornio-Vargas, Alvaro R.; O'Neill, Marie S.; Hystad, Perry; Texcalac-Sangrador, Jose L.; Ohman-Strickland, Pamela; Meng, Qingyu; Schwander, Stephan								Land use regression models to assess air pollution exposure in Mexico City using finer spatial and temporal input parameters								SCIENCE OF THE TOTAL ENVIRONMENT				639				40	48		10.1016/j.scitotenv.2018.05.144			OCT 15 2018	2018										0							WOS:000436806200005		
J	Bae, Mi-Jung; Murphy, Christina A.; Garcia-Berthou, Emili								Temperature and hydrologic alteration predict the spread of invasive Largemouth Bass (Micropterus salmoides)								SCIENCE OF THE TOTAL ENVIRONMENT				639				58	66		10.1016/j.scitotenv.2018.05.001			OCT 15 2018	2018										0							WOS:000436806200057		
