PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	VELDE, B; COURTOIS, L								YELLOW GARNETS IN ROMAN AMPHORAE - A POSSIBLE TRACER OF ANCIENT COMMERCE								JOURNAL OF ARCHAEOLOGICAL SCIENCE				10	6			531	539		10.1016/0305-4403(83)90035-3			1983	1983										2							WOS:A1983SA13900003		
J	RYDER, ML								THE WOOLS IN THE SWEDISH BOCKSTEN COSTUME								JOURNAL OF ARCHAEOLOGICAL SCIENCE				10	6			541	545		10.1016/0305-4403(83)90036-5			1983	1983										0							WOS:A1983SA13900004		
J	PARPOLA, S								ASSYRIAN LIBRARY RECORDS								JOURNAL OF NEAR EASTERN STUDIES				42	1			1	29		10.1086/372983			1983	1983										18							WOS:A1983PZ07100001		
J	BRYCE, TR								POLITICAL UNITY IN LYCIA DURING THE DYNASTIC PERIOD								JOURNAL OF NEAR EASTERN STUDIES				42	1			31	42		10.1086/372984			1983	1983										3							WOS:A1983PZ07100002		
J	ROTH, AM								SOME NEW TEXTS OF HERIHOR AND RAMESSES-IV IN THE GREAT HYPOSTYLE HALL AT KARNAK								JOURNAL OF NEAR EASTERN STUDIES				42	1			43	53		10.1086/372985			1983	1983										2							WOS:A1983PZ07100003		
J	NEUGEBAUER, O								ABUSHAKER AND THE ETHIOPIC HASAB								JOURNAL OF NEAR EASTERN STUDIES				42	1			55	58		10.1086/372986			1983	1983										2							WOS:A1983PZ07100004		
J	STETKEVYCH, SP								STRUCTURALIST INTERPRETATIONS OF PRE-ISLAMIC POETRY - CRITIQUE AND NEW DIRECTIONS								JOURNAL OF NEAR EASTERN STUDIES				42	2			85	107		10.1086/373000			1983	1983										11							WOS:A1983QQ42000001		
J	STARR, I								OMEN TEXTS CONCERNING LESSER KNOWN PARTS OF THE LUNGS								JOURNAL OF NEAR EASTERN STUDIES				42	2			109	121		10.1086/373001			1983	1983										1							WOS:A1983QQ42000002		
J	TOMABECHI, Y								WALL PAINTINGS FROM DUR-KURIGALZU								JOURNAL OF NEAR EASTERN STUDIES				42	2			123	131		10.1086/373002			1983	1983										2							WOS:A1983QQ42000003		
J	HELD, GF								PARALLELS BETWEEN THE GILGAMESH-EPIC AND PLATO SYMPOSIUM								JOURNAL OF NEAR EASTERN STUDIES				42	2			133	141		10.1086/373003			1983	1983										3							WOS:A1983QQ42000004		
