PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Marino, Sara								Digital food and foodways: How online food practices and narratives shape the Italian diaspora in London								JOURNAL OF MATERIAL CULTURE				23	3			263	279		10.1177/1359183517725091			SEP 2018	2018										0							WOS:000442720400001		
J	Davy, Jack								Lars Haetta's miniature world: Sami prison op-art autoethnography								JOURNAL OF MATERIAL CULTURE				23	3			280	294		10.1177/1359183517745716			SEP 2018	2018										0							WOS:000442720400002		
J	Lewis, Camilla								Making community through the exchange of material objects								JOURNAL OF MATERIAL CULTURE				23	3			295	311		10.1177/1359183518769088			SEP 2018	2018										0							WOS:000442720400003		
J	Dickson, Jane								Warfarin as a materially and digitally informed drug								JOURNAL OF MATERIAL CULTURE				23	3			312	327		10.1177/1359183518769108			SEP 2018	2018										0							WOS:000442720400004		
J	Sumartojo, Shanti; Graves, Matthew								Rust and dust: Materiality and the feel of memory at Camp des Milles								JOURNAL OF MATERIAL CULTURE				23	3			328	343		10.1177/1359183518769110			SEP 2018	2018										0							WOS:000442720400005		
J	Martins, Luciana								Skin, paper, tiles: A cross-cultural history of Kadiweu art								JOURNAL OF MATERIAL CULTURE				23	3			344	367		10.1177/1359183518782713			SEP 2018	2018										0							WOS:000442720400006		
J	Bielo, James S.								Flower, soil, water, stone: Biblical landscape items and Protestant materiality								JOURNAL OF MATERIAL CULTURE				23	3			368	387		10.1177/1359183518782718			SEP 2018	2018										0							WOS:000442720400007		
J	Arjun, R.								Archaeological Investigations at the Brahmagiri rock shelter: Prospecting for its context in South India late prehistory and early history								ARCHAEOLOGICAL RESEARCH IN ASIA				15				1	12		10.1016/j.ara.2016.12.003			SEP 2018	2018										0							WOS:000441806200001		
J	Frenez, Dennys								Manufacturing and trade of Asian elephant ivory in Bronze Age Middle Asia. Evidence from Gonur Depe (Margiana, Turkmenistan)								ARCHAEOLOGICAL RESEARCH IN ASIA				15				13	33		10.1016/j.ara.2017.08.002			SEP 2018	2018										0							WOS:000441806200002		
J	Vergauwe, Ruben; Bourgeois, Jean; Gheyle, Wouter								Researching monumental spaces in late prehistoric societies: New perspectives for landscape research in the Russian Altai								ARCHAEOLOGICAL RESEARCH IN ASIA				15				34	44		10.1016/j.ara.2017.09.001			SEP 2018	2018										0							WOS:000441806200003		
J	Magli, Giulio								Royal mausoleums of the western Han and of the Song Chinese dynasties: A satellite imagery analysis								ARCHAEOLOGICAL RESEARCH IN ASIA				15				45	54		10.1016/j.ara.2017.10.003			SEP 2018	2018										0							WOS:000441806200004		
J	Acabado, Stephen; Barretto-Tesoro, Grace; Amano, Noel								Status differentiation, agricultural intensification, and pottery production in precapitalist Kiyyangan, Ifugao, Philippines								ARCHAEOLOGICAL RESEARCH IN ASIA				15				55	69		10.1016/j.ara.2017.10.004			SEP 2018	2018										0							WOS:000441806200005		
J	Jia, Peter Weiming; Betts, Alison; Dupuy, Paula N. Doumani; Cong, Dexin; Jia, Xiaobing								Bronze Age Hill Forts: New evidence for defensive sites in the western Tian Shan, China								ARCHAEOLOGICAL RESEARCH IN ASIA				15				70	81		10.1016/j.ara.2017.10.005			SEP 2018	2018										0							WOS:000441806200006		
J	Caspari, Gino; Sadykov, Timur; Blochin, Jegor; Hajdas, Irka								Tunnug 1 (Arzhan 0) - an early Scythian kurgan in Tuva Republic, Russia								ARCHAEOLOGICAL RESEARCH IN ASIA				15				82	87		10.1016/j.ara.2017.11.001			SEP 2018	2018										0							WOS:000441806200007		
J	Stoltman, James B.; Yue, Zhanwei; Jing, Zhichun; Tang, Jigen; Burton, James H.; Raudsepp, Mati								New insights into the composition and microstructure of ceramic artifacts associated with the production of Chinese bronzes at Yinxu, the last capital of the Shang dynasty								ARCHAEOLOGICAL RESEARCH IN ASIA				15				88	100		10.1016/j.ara.2017.11.002			SEP 2018	2018										0							WOS:000441806200008		
J	Andreeva, Petya V.; Atwood, Christopher P.								Camp and audience scenes in late iron age rock drawings from Khawtsgait, Mongolia								ARCHAEOLOGICAL RESEARCH IN ASIA				15				101	109		10.1016/j.ara.2017.11.004			SEP 2018	2018										0							WOS:000441806200009		
J	Vidale, Massimo								A "Priest King" at Shahr-i Sokhta?								ARCHAEOLOGICAL RESEARCH IN ASIA				15				110	115		10.1016/j.ara.2017.12.001			SEP 2018	2018										0							WOS:000441806200010		
J	O'Connor, Sue; Mahirta; Louys, Julien; Kealy, Shimona; Brockwell, Sally								New engraving finds in Alor Island, Indonesia extend known distribution of engravings in Oceania								ARCHAEOLOGICAL RESEARCH IN ASIA				15				116	128		10.1016/j.ara.2017.12.004			SEP 2018	2018										0							WOS:000441806200011		
J	Tan, Noel Hidalgo								Rock art at the cave of a thousand Buddhas, Luang Prabang, Lao PDR								ARCHAEOLOGICAL RESEARCH IN ASIA				15				129	136		10.1016/j.ara.2018.01.001			SEP 2018	2018										0							WOS:000441806200012		
J	Holguin, Leah R.; Sternberg, Troy								A GIS based approach to Holocene hydrology and social connectivity in the Gobi Desert, Mongolia								ARCHAEOLOGICAL RESEARCH IN ASIA				15				137	145		10.1016/j.ara.2016.12.001			SEP 2018	2018										0							WOS:000441806200013		
J	Haruda, A.								Regional pastoral practice in central and southeastern Kazakhstan in the Final Bronze Age (1300-900 BCE)								ARCHAEOLOGICAL RESEARCH IN ASIA				15				146	156		10.1016/j.ara.2017.09.004			SEP 2018	2018										0							WOS:000441806200014		
J	Ananyevskaya, E.; Aytqaly, A. K.; Beisenov, A. Z.; Dmitriev, E. A.; Garbaras, A.; Kukushkin, I. A.; Loman, V. G.; Sapolaite, J.; Usmanova, E. R.; Varfolomeev, V. V.; Voyakin, D. A.; Zhuniskhanov, A. S.; Matuzeviciute, Motuzaite G.								Early indicators to C4 plant consumption in central Kazakhstan during the Final Bronze Age and Early Iron Age based on stable isotope analysis of human and animal bone collagen								ARCHAEOLOGICAL RESEARCH IN ASIA				15				157	173		10.1016/j.ara.2017.12.002			SEP 2018	2018										0							WOS:000441806200015		
J	Fedrigo, Anna; Strobl, Markus; Williams, Alan R.; Lefmann, Kim; Lindelof, Poul Erik; Jorgensen, Lars; Pentz, Peter; Bausenwein, Dominik; Schillinger, Burkard; Kovyakh, Anton; Grazzi, Francesco								Neutron imaging study of 'pattern-welded' swords from the Viking Age								ARCHAEOLOGICAL AND ANTHROPOLOGICAL SCIENCES				10	6			1249	1263		10.1007/s12520-016-0454-5			SEP 2018	2018										3							WOS:000441593300001		
J	Laffoon, Jason E.; Sonnemann, Till F.; Antczak, Marlena M.; Antczak, Andrzej								Sourcing nonnative mammal remains from Dos Mosquises Island, Venezuela: new multiple isotope evidence								ARCHAEOLOGICAL AND ANTHROPOLOGICAL SCIENCES				10	6			1265	1281		10.1007/s12520-016-0453-6			SEP 2018	2018										3							WOS:000441593300002		
J	Purowski, Tomasz; Kepa, Luiza; Wagner, Barbara								Glass on the Amber Road: the chemical composition of glass beads from the Bronze Age in Poland								ARCHAEOLOGICAL AND ANTHROPOLOGICAL SCIENCES				10	6			1283	1302		10.1007/s12520-016-0443-8			SEP 2018	2018										0							WOS:000441593300003		
J	Muskens, Sander; Braekmans, Dennis; Versluys, Miguel John; Degryse, Patrick								Egyptian sculptures from Imperial Rome. Non-destructive characterization of granitoid statues through macroscopic methodologies and in situ XRF analysis								ARCHAEOLOGICAL AND ANTHROPOLOGICAL SCIENCES				10	6			1303	1318		10.1007/s12520-016-0456-3			SEP 2018	2018										0							WOS:000441593300004		
J	Zhang, Qun; Wang, Qian; Kong, Boyu; Wang, Chunxue; Yang, Dongya; Zhu, Hong; Zhang, Quanchao								A scientific analysis of cranial trepanation from an Early Iron Age cemetery on the ancient Silk Road in Xinjiang, China								ARCHAEOLOGICAL AND ANTHROPOLOGICAL SCIENCES				10	6			1319	1327		10.1007/s12520-016-0461-6			SEP 2018	2018										0							WOS:000441593300005		
J	Ortega, David; Roque, Carles; Ibanez, Jordi; Beamud, Elisabet; Larrasoana, Juan C.; Saez, Alberto; Terradas, Xavier								The chert from the Castelltallat Formation (south-central Pyrenees): archaeometric characterisation and archaeological implications								ARCHAEOLOGICAL AND ANTHROPOLOGICAL SCIENCES				10	6			1329	1346		10.1007/s12520-016-0458-1			SEP 2018	2018										0							WOS:000441593300006		
J	Gordon, Florencia; Perez, S. Ivan; Hajduk, Adam; Lezcano, Maximiliano; Bernal, Valeria								Dietary patterns in human populations from northwest Patagonia during Holocene: an approach using Binford's frames of reference and Bayesian isotope mixing models								ARCHAEOLOGICAL AND ANTHROPOLOGICAL SCIENCES				10	6			1347	1358		10.1007/s12520-016-0459-0			SEP 2018	2018										2							WOS:000441593300007		
J	Dias, M., I; Kasztovszky, Z. S.; Prudencio, M., I; Valera, A. C.; Maroti, B.; Harsanyi, I; Kovacs, I; Szokefalvi-Nagy, Z.								X-ray and neutron-based non-invasive analysis of prehistoric stone artefacts: a contribution to understand mobility and interaction networks								ARCHAEOLOGICAL AND ANTHROPOLOGICAL SCIENCES				10	6			1359	1373		10.1007/s12520-016-0457-2			SEP 2018	2018										0							WOS:000441593300008		
J	Esteharanz-Sanchez, F.; Martinez, L. M.; Alrousan, M.; Chamel, Berenice; Molist, M.; Coqueugniot, E.; Perez-Perez, A.								Spinal dysraphism at the Syrian Neolithic site of Dja'de el-Mughara								ARCHAEOLOGICAL AND ANTHROPOLOGICAL SCIENCES				10	6			1375	1387		10.1007/s12520-016-0460-7			SEP 2018	2018										0							WOS:000441593300009		
J	Tomasso, Sonja; Rots, Veerle								What is the use of shaping a tang? Tool use and hafting of tanged tools in the Aterian of Northern Africa								ARCHAEOLOGICAL AND ANTHROPOLOGICAL SCIENCES				10	6			1389	1417		10.1007/s12520-016-0448-3			SEP 2018	2018										2							WOS:000441593300010		
J	Faith, J. Tyler; Du, Andrew								The measurement of taxonomic evenness in zooarchaeology								ARCHAEOLOGICAL AND ANTHROPOLOGICAL SCIENCES				10	6			1419	1428		10.1007/s12520-017-0467-8			SEP 2018	2018										1							WOS:000441593300011		
J	Quinn, R.; Smyth, T. A. G.								Processes and patterns of flow, erosion, and deposition at shipwreck sites: a computational fluid dynamic simulation								ARCHAEOLOGICAL AND ANTHROPOLOGICAL SCIENCES				10	6			1429	1442		10.1007/s12520-017-0468-7			SEP 2018	2018										1							WOS:000441593300012		
J	Oudbashi, Omid; Hasanpour, Ata								Bronze alloy production during the Iron Age of Luristan: a multianalytical study on recently discovered bronze objects								ARCHAEOLOGICAL AND ANTHROPOLOGICAL SCIENCES				10	6			1443	1458		10.1007/s12520-017-0466-9			SEP 2018	2018										0							WOS:000441593300013		
J	Rufa, Anna; Blasco, Ruth; Roger, Thierry; Rue, Mathieu; Daujeard, Camille								A rallying point for different predators: the avian record from a Late Pleistocene sequence of Grotte des Barasses II (Balazuc, ArdSche, France)								ARCHAEOLOGICAL AND ANTHROPOLOGICAL SCIENCES				10	6			1459	1476		10.1007/s12520-017-0469-6			SEP 2018	2018										0							WOS:000441593300014		
J	Deng, Zhenhua; Hung, Hsiao-chun; Carson, Mike T.; Bellwood, Peter; Yang, Shu-ling; Lu, Houyuan								The first discovery of Neolithic rice remains in eastern Taiwan: phytolith evidence from the Chaolaiqiao site								ARCHAEOLOGICAL AND ANTHROPOLOGICAL SCIENCES				10	6			1477	1484		10.1007/s12520-017-0471-z			SEP 2018	2018										1							WOS:000441593300015		
J	Jansen, Moritz; Hauptmann, Andreas; Klein, Sabine; Seitz, Hans-Michael								The potential of stable Cu isotopes for the identification of Bronze Age ore mineral sources from Cyprus and Faynan: results from Uluburun and Khirbat Hamra Ifdan								ARCHAEOLOGICAL AND ANTHROPOLOGICAL SCIENCES				10	6			1485	1502		10.1007/s12520-017-0465-x			SEP 2018	2018										2							WOS:000441593300016		
J	Bendikiene, Regita; Bertasius, Mindaugas; Ciuplys, Antanas; Navasaitis, Jonas; Zaldarys, Gintautas								Excavations of ironware of the third-fifth century from Marvele necropolis (Lithuania)								ARCHAEOLOGICAL AND ANTHROPOLOGICAL SCIENCES				10	6			1503	1523		10.1007/s12520-017-0474-9			SEP 2018	2018										0							WOS:000441593300017		
J	Sun, Yongjuan; Chongyi, E.; Lai, Zhongping; Hou, Guangliang								Luminescence dating of prehistoric hearths in Northeast Qinghai Lake and its paleoclimatic implication								ARCHAEOLOGICAL AND ANTHROPOLOGICAL SCIENCES				10	6			1525	1534		10.1007/s12520-017-0472-y			SEP 2018	2018										0							WOS:000441593300018		
J	McCartney, Innes								Scuttled in the Morning: the discoveries and surveys of HMS Warrior and HMS Sparrowhawk, the Battle of Jutland's last missing shipwrecks								INTERNATIONAL JOURNAL OF NAUTICAL ARCHAEOLOGY				47	2			253	266		10.1111/1095-9270.12302			SEP 2018	2018										0							WOS:000441438100001		
J	Kan, Hironobu; Katagiri, Chiaki; Nakanishi, Yumiko; Yoshizaki, Shin; Nagao, Masayuki; Ono, Rintaro								Assessment and Significance of a World War II battle site: recording the USS Emmons using a High-Resolution DEM combining Multibeam Bathymetry and SfM Photogrammetry								INTERNATIONAL JOURNAL OF NAUTICAL ARCHAEOLOGY				47	2			267	280		10.1111/1095-9270.12301			SEP 2018	2018										0							WOS:000441438100002		
J	Hosty, Kieran; Hunter, James; Adhityatama, Shinatria								Death by a Thousand Cuts: an archaeological assessment of souveniring and salvage on the Australian cruiser HMAS Perth (I)								INTERNATIONAL JOURNAL OF NAUTICAL ARCHAEOLOGY				47	2			281	299		10.1111/1095-9270.12326			SEP 2018	2018										0							WOS:000441438100003		
J	Tejedor, Carlos Cabrera								The Mazarron 1 Shipwreck: an iron-age boat with unique features from the Iberian Peninsula								INTERNATIONAL JOURNAL OF NAUTICAL ARCHAEOLOGY				47	2			300	324		10.1111/1095-9270.12318			SEP 2018	2018										0							WOS:000441438100004		
J	Robinson, Damian								The Depositional Contexts of the Ships from Thonis-Heracleion, Egypt								INTERNATIONAL JOURNAL OF NAUTICAL ARCHAEOLOGY				47	2			325	336		10.1111/1095-9270.12321			SEP 2018	2018										0							WOS:000441438100005		
J	Oniz, Hakan								Harbour of Soli-Pompeiopolis: recent underwater archaeological research								INTERNATIONAL JOURNAL OF NAUTICAL ARCHAEOLOGY				47	2			337	342		10.1111/1095-9270.12320			SEP 2018	2018										0							WOS:000441438100006		
J	Willis, Staci; Capulli, Massimo								A Report on the late 1st-2nd-century-AD Venice Lido III Sewn Timber Assemblage								INTERNATIONAL JOURNAL OF NAUTICAL ARCHAEOLOGY				47	2			343	356		10.1111/1095-9270.12322			SEP 2018	2018										0							WOS:000441438100007		
J	Ozsait-Kocabas, Isil								The Yenikap 12 Shipwreck, a 9th-Century Merchantman from the Theodosian Harbour in Istanbul, Turkey: construction and reconstruction								INTERNATIONAL JOURNAL OF NAUTICAL ARCHAEOLOGY				47	2			357	390		10.1111/1095-9270.12325			SEP 2018	2018										0							WOS:000441438100008		
J	Eriksson, Niklas								A New View of the "Edeso Wreck': identifying the Swedish naval vessel Bodekull, built 1659-1661 and sunk 1678 from written sources								INTERNATIONAL JOURNAL OF NAUTICAL ARCHAEOLOGY				47	2			391	404		10.1111/1095-9270.12297			SEP 2018	2018										0							WOS:000441438100009		
J	Harris, Lynn; Richards, Nathan								Preliminary Investigations of Two Shipwreck Sites in Cahuita National Park, Costa Rica								INTERNATIONAL JOURNAL OF NAUTICAL ARCHAEOLOGY				47	2			405	418		10.1111/1095-9270.12295			SEP 2018	2018										0							WOS:000441438100010		
J	Cooper, John P.; Wetherelt, Andrew; Zazzaro, Chiara; Eyre, Matthew								From Boatyard to Museum: 3D laser scanning and digital modelling of the Qatar Museums watercraft collection, Doha, Qatar								INTERNATIONAL JOURNAL OF NAUTICAL ARCHAEOLOGY				47	2			419	442		10.1111/1095-9270.12298			SEP 2018	2018										0							WOS:000441438100011		
J	Bonino, Marco								A Further Proposal for the Hull Lines of the Madrague de Giens Ship (c.70 BC)								INTERNATIONAL JOURNAL OF NAUTICAL ARCHAEOLOGY				47	2			443	459		10.1111/1095-9270.12300			SEP 2018	2018										0							WOS:000441438100012		
J	Colls, Caroline Sturdy; Branthwaite, Michael								"This is Proof"? Forensic Evidence and Ambiguous Material Culture at Treblinka Extermination Camp								INTERNATIONAL JOURNAL OF HISTORICAL ARCHAEOLOGY				22	3			430	453		10.1007/s10761-017-0432-3			SEP 2018	2018										0							WOS:000441293500002		
J	Bernbeck, Reinhard; Pollock, Susan								Quotidian and Transgressive Practices in Nazi Forced Labor Camps: The Role of Objects								INTERNATIONAL JOURNAL OF HISTORICAL ARCHAEOLOGY				22	3			454	471		10.1007/s10761-017-0434-1			SEP 2018	2018										0							WOS:000441293500003		
J	Hausmair, Barbara								Identity Destruction or Survival in Small Things? Rethinking Prisoner Tags from the Mauthausen Concentration Camp								INTERNATIONAL JOURNAL OF HISTORICAL ARCHAEOLOGY				22	3			472	491		10.1007/s10761-017-0436-z			SEP 2018	2018										0							WOS:000441293500004		
J	Theune, Claudia								Clothes as Expression of Action in Former Concentration Camps								INTERNATIONAL JOURNAL OF HISTORICAL ARCHAEOLOGY				22	3			492	510		10.1007/s10761-017-0440-3			SEP 2018	2018										0							WOS:000441293500005		
J	Ryden, Johanna Bergqvist								When Bereaved of Everything: Objects from the Concentration Camp of Ravensbruck as Expressions of Resistance, Memory, and Identity								INTERNATIONAL JOURNAL OF HISTORICAL ARCHAEOLOGY				22	3			511	530		10.1007/s10761-017-0433-2			SEP 2018	2018										0							WOS:000441293500006		
J	Carr, Gilly								The Small Things of Life and Death: An Exploration of Value and Meaning in the Material Culture of Nazi Camps								INTERNATIONAL JOURNAL OF HISTORICAL ARCHAEOLOGY				22	3			531	552		10.1007/s10761-017-0435-0			SEP 2018	2018										0							WOS:000441293500007		
J	Mitchell, Paul								Concentration Camp Buildings as Artifacts: The Archaeology of Buildings in the Mauthausen-Gusen Complex								INTERNATIONAL JOURNAL OF HISTORICAL ARCHAEOLOGY				22	3			553	573		10.1007/s10761-017-0439-9			SEP 2018	2018										0							WOS:000441293500008		
J	Starzmann, Maresi								The Fragment and the Testimony: Reflections on Absence and Time in the Archaeology of Prisons and Camps								INTERNATIONAL JOURNAL OF HISTORICAL ARCHAEOLOGY				22	3			574	592		10.1007/s10761-017-0443-0			SEP 2018	2018										0							WOS:000441293500009		
J	Loistl, Simone; Schwanninger, Florian								Vestiges and Witnesses: Archaeological Finds from the Nazi Euthanasia Institution of Hartheim as Objects of Research and Education								INTERNATIONAL JOURNAL OF HISTORICAL ARCHAEOLOGY				22	3			614	638		10.1007/s10761-017-0441-2			SEP 2018	2018										0							WOS:000441293500011		
J	Jasinski, Marek E.								Predicting the Past - Materiality of Nazi and Post-Nazi Camps: A Norwegian Perspective								INTERNATIONAL JOURNAL OF HISTORICAL ARCHAEOLOGY				22	3			639	661		10.1007/s10761-017-0438-x			SEP 2018	2018										0							WOS:000441293500012		
J	Curry, Andrew								The Rulers of Foreign Lands								ARCHAEOLOGY				71	5			28	33					SEP-OCT 2018	2018										0							WOS:000440338100024		
J	Brown, Marley								A Local Institution								ARCHAEOLOGY				71	5			34	37					SEP-OCT 2018	2018										0							WOS:000440338100025		
J	Weiss, Daniel								WHEN THE INUIT MET THE BASQUES								ARCHAEOLOGY				71	5			38	43					SEP-OCT 2018	2018										0							WOS:000440338100026		
J	Powell, Eric A.								FRAGMENTS OF ANCESTRAL MEMORY								ARCHAEOLOGY				71	5			44	49					SEP-OCT 2018	2018										0							WOS:000440338100027		
J	Ben Zion, Ilan								SHIPPING STONE								ARCHAEOLOGY				71	5			50	55					SEP-OCT 2018	2018										0							WOS:000440338100028		
J	Lin, Sam C.; Rezek, Zeljko; Dibble, Harold L.								Experimental Design and Experimental Inference in Stone Artifact Archaeology								JOURNAL OF ARCHAEOLOGICAL METHOD AND THEORY				25	3			663	688		10.1007/s10816-017-9351-1			SEP 2018	2018										0							WOS:000440035800001		
J	Grimstead, Deanna N.; Clark, Amy E.; Rezac, Adam								Uranium and Vanadium Concentrations as a Trace Element Method for Identifying Diagenetically Altered Bone in the Inorganic Phase								JOURNAL OF ARCHAEOLOGICAL METHOD AND THEORY				25	3			689	704		10.1007/s10816-017-9353-z			SEP 2018	2018										0							WOS:000440035800002		
J	Rice, Prudence M.								Maya Crocodilians: Intersections of Myth and the Natural World at Early Nixtun-Ch'ich', Pet,n, Guatemala								JOURNAL OF ARCHAEOLOGICAL METHOD AND THEORY				25	3			705	738		10.1007/s10816-017-9352-0			SEP 2018	2018										1							WOS:000440035800003		
J	Whitau, Rose; Vannieuwenhuyse, Dorcas; Dotte-Sarout, Emilie; Balme, Jane; O'Connor, Sue								Home Is Where the Hearth Is: Anthracological and Microstratigraphic Analyses of Pleistocene and Holocene Combustion Features, Riwi Cave (Kimberley, Western Australia)								JOURNAL OF ARCHAEOLOGICAL METHOD AND THEORY				25	3			739	776		10.1007/s10816-017-9354-y			SEP 2018	2018										1							WOS:000440035800004		
J	Negre, Joan; Munoz, Facundo; Antonio Barcelo, Juan								A Cost-Based Ripley's K Function to Assess Social Strategies in Settlement Patterning								JOURNAL OF ARCHAEOLOGICAL METHOD AND THEORY				25	3			777	794		10.1007/s10816-017-9358-7			SEP 2018	2018										0							WOS:000440035800005		
J	Perry, George L. W.; O'Sullivan, David								Identifying Narrative Descriptions in Agent-Based Models Representing Past Human-Environment Interactions								JOURNAL OF ARCHAEOLOGICAL METHOD AND THEORY				25	3			795	817		10.1007/s10816-017-9355-x			SEP 2018	2018										0							WOS:000440035800006		
J	Lanoe, Francois B.; Reuther, Joshua D.; Holmes, Charles E.								Task-Specific Sites and Paleoindian Landscape Use in the Shaw Creek Flats, Alaska								JOURNAL OF ARCHAEOLOGICAL METHOD AND THEORY				25	3			818	838		10.1007/s10816-017-9360-0			SEP 2018	2018										0							WOS:000440035800007		
J	Cnuts, Dries; Tomasso, Sonja; Rots, Veerle								The Role of Fire in the Life of an Adhesive								JOURNAL OF ARCHAEOLOGICAL METHOD AND THEORY				25	3			839	862		10.1007/s10816-017-9361-z			SEP 2018	2018										0							WOS:000440035800008		
J	Kuijpers, M. H. G.								A Sensory Update to the Chaine Operatoire in Order to Study Skill: Perceptive Categories for Copper-Compositions in Archaeometallurgy								JOURNAL OF ARCHAEOLOGICAL METHOD AND THEORY				25	3			863	891		10.1007/s10816-017-9356-9			SEP 2018	2018										1							WOS:000440035800009		
